"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Wetherill Park Family Practice","Wetherill Park","NSW",2164,150.909622192383,-33.8509559631348,"General practice service","GP",6
"Maternal And Child Health Centre - Nar Nar Goon","Nar Nar Goon","VIC",3812,145.569290161133,-38.0826530456543,"Maternal, child and family health service","GP",1
"The Grange Family Medical Centre","Port Macquarie","NSW",2444,152.908462524414,-31.4411697387695,"General practice service","GP",31
"Towerhill Medical Centre","Frankston","VIC",3199,145.137100219727,-38.1628532409668,"General practice service","GP",38
"Moruya General Practice","Moruya","NSW",2537,150.080246,-35.911023,"General practice service","GP",7
"Indian Ocean Territory Health Service","Christmas Island","WA",6798,105.686676025391,-10.4393396377563,"General practice service","GP",2
"Family Medical Centre - Ballina","Ballina","NSW",2478,153.564498901367,-28.8704738616943,"General practice service","GP",14
"Ochre Medical Centre Coonamble","Coonamble","NSW",2829,148.38974119761,-30.9519526794874,"General practice service","GP",5
"The Clinic Altona","Altona","VIC",3018,144.829513549805,-37.8680038452148,"General practice service","GP",7
"Condobolin Primary And Community Health Nursing Service","Condobolin","NSW",2877,147.152252197266,-33.0817337036133,"Nurse led clinic","GP",4
"Port Hedland Medical Centre","Port Hedland","WA",6721,118.577003479004,-20.3110427856445,"General practice service","GP",2
"Millmerran Multipurpose Health Services","Millmerran","QLD",4357,151.262786865234,-27.8796863555908,"Maternal, child and family health service","GP",7
"Maclean Community Health Centre","Maclean","NSW",2463,153.20182800293,-29.4537525177002,"Aboriginal and Torres Strait Islander health service","GP",8
"Bankstown Medical & Dental Centre","Bankstown","NSW",2200,151.035446166992,-33.9141731262207,"General practice service","GP",42
"Tharawal Aboriginal Corporation","Airds","NSW",2560,150.83359719,-34.08107801,"Nurse practitioner led clinic","GP",2
"Station Medical Centre","Melton South","VIC",3338,144.573196411133,-37.7022933959961,"General practice service","GP",4
"Maternal And Child Health Centre -East Preston - Sylvester Grove","Preston","VIC",3072,145.018966674805,-37.7376327514648,"Maternal, child and family health service","GP",21
"Greens Medical Group","Dandenong South","VIC",3175,145.19590366,-38.01133993,"General practice service","GP",3
"Centacare Caboolture Services","Caboolture","QLD",4510,152.976806640625,-27.0809707641602,"Aboriginal and Torres Strait Islander health service","GP",21
"Doreen Family Medical Practice","Doreen","VIC",3754,145.117691040039,-37.6043014526367,"General practice service","GP",9
"Blackwater Multipurpose Health Service","Blackwater","QLD",4717,148.878631591797,-23.5716724395752,"Nurse led clinic","GP",4
"Campbelltown Hospital Antenatal Services Macquarie Fields - Anc Outreach Clinic","Campbelltown","NSW",2560,150.803466796875,-34.0800552368164,"Maternal, child and family health service","GP",35
"Beach End Medical Clinic 36 Main Street Mornington 3931 Vic","Mornington","VIC",3931,145.037994384766,-38.2174911499023,"General practice service","GP",27
"Cremorne Early Childhood Health Centre","Cremorne","NSW",2090,151.230484008789,-33.8271064758301,"Maternal, child and family health service","GP",5
"Mingenew Health Centre","Mingenew","WA",6522,115.442909240723,-29.1941680908203,"Maternal, child and family health service","GP",1
"Health On Grange","Flinders Park","SA",5025,138.538467407227,-34.9054985046387,"General practice service","GP",2
"Totalcare Medical Centre","Laverton","VIC",3028,144.77580623,-37.85349712,"General practice service","GP",8
"Yinnar Clinic","Yinnar","VIC",3869,146.32822608,-38.32214554,"General practice service","GP",4
"West Gippsland Hospital","Warragul","VIC",3820,145.927825927734,-38.1729240417481,"Nurse led clinic","GP",13
"Ufs Medical Centre - Booval","Booval","QLD",4304,152.789611816406,-27.6130294799805,"General practice service","GP",4
"Roma Continence Advisory Service","Roma","QLD",4455,148.77555847168,-26.5685482025147,"Nurse led clinic","GP",10
"Hay Street Medical Centre","Subiaco","WA",6008,115.8305936,-31.9473651,"General practice service","GP",17
"Browns Plains Medical & Dental Centre","Browns Plains","QLD",4118,153.03694152832,-27.6635818481445,"General practice service","GP",15
"Sutherland Child And Family Health","Sutherland","NSW",2232,151.056732177734,-34.0319442749023,"Maternal, child and family health service","GP",6
"Camden Hospital University Medical Clinic - Continence Clinic","Camden","NSW",2570,150.693450927734,-34.0636253356934,"Nurse led clinic","GP",11
"Holistic Health House","Fawkner","VIC",3060,144.9658203125,-37.7014503479004,"General practice service","GP",8
"St Antony Medical Centre","Pakenham","VIC",3810,145.488479614258,-38.0717391967773,"General practice service","GP",21
"Dpv Health - Coleraine Street","Broadmeadows","VIC",3047,144.918121337891,-37.6770210266113,"General practice service","GP",16
"Coomealla Health Aboriginal Corporation Dareton","Dareton","NSW",2717,142.044235229492,-34.0950660705566,"Maternal, child and family health service","GP",4
"Maternal & Child Health Centre - Tongala","Tongala","VIC",3621,144.949035644531,-36.2502288818359,"Maternal, child and family health service","GP",2
"Dapto Healthcare Medical Centre","Dapto","NSW",2530,150.79573059082,-34.4927520751953,"General practice service","GP",9
"Your Community Health - East Reservoir","Reservoir","VIC",3073,145.030395507813,-37.7316246032715,"Maternal, child and family health service","GP",23
"Devonport Family Medical Centre","Devonport","TAS",7310,146.360717773438,-41.1821327209473,"General practice service","GP",11
"Trangie Multi Purpose Service Community Health Service","Trangie","NSW",2823,147.977294921875,-32.0305862426758,"Nurse led clinic","GP",5
