"ORGANISATION_NAME","SUBURB","STATE","POSTCODE","LONGITUDE","LATITUDE","NHSD_SERVICE_TYPE","GA_CLASS","Services"
"Direct Chemist Outlet Pacific Paradise","Pacific Paradise","QLD",4564,153.08251953125,-26.6142330169678,"Pharmacy service","Pharmacy",1
"Priceline Pharmacy Armidale","Armidale","NSW",2350,151.6644699,-30.51326468,"Pharmacy service","Pharmacy",16
"Optimal Pharmacy Plus Ellenbrook","Ellenbrook","WA",6069,115.96982673,-31.77118716,"Pharmacy service","Pharmacy",14
"Woodenbong Pharmacy","Woodenbong","NSW",2476,152.612655639648,-28.3898029327393,"Pharmacy service","Pharmacy",1
"168 Pharmacy Warehouse","Cranbourne","VIC",3977,145.284124740536,-38.0984351781833,"Pharmacy service","Pharmacy",17
"Ramsay Pharmacy Burleigh","Burleigh Waters","QLD",4220,153.438219,-28.099693,"Pharmacy service","Pharmacy",11
"Moonee Beach Pharmacy","Moonee Beach","NSW",2450,153.149643,-30.206623,"Pharmacy service","Pharmacy",2
"Geographe Pharmacy","Geographe","WA",6280,115.37700065,-33.63768386,"Pharmacy service","Pharmacy",1
"Priceline Pharmacy Green Valley","Green Valley","NSW",2168,150.867401123047,-33.9073905944824,"Pharmacy service","Pharmacy",6
"Logan City Pharmacy","Logan Central","QLD",4114,153.117309570313,-27.6435852050781,"Pharmacy service","Pharmacy",20
"Priceline Pharmacy Semaphore","Semaphore","SA",5019,138.483337402344,-34.8391571044922,"Pharmacy service","Pharmacy",4
"Master Pharmacy Outlet","Rooty Hill","NSW",2766,150.843018,-33.769833,"Pharmacy service","Pharmacy",7
"Tlc Pharmacy Taperoo","Taperoo","SA",5017,138.49690246582,-34.8037948608398,"Pharmacy service","Pharmacy",1
"Healthsave Fairfield Waters","Idalia","QLD",4811,146.80550613,-19.30694288,"Pharmacy service","Pharmacy",3
"Narrogin Amcal Chemist","Narrogin","WA",6312,117.178237915039,-32.9346046447754,"Pharmacy service","Pharmacy",4
"Advantage Pharmacy Hawthorn","Hawthorn","VIC",3122,145.021636962891,-37.8147163391113,"Pharmacy service","Pharmacy",22
"Murray's Direct Chemist Outlet Liverpool","Liverpool","NSW",2170,150.92392905,-33.92332631,"Pharmacy service","Pharmacy",38
"Cincotta Discount Chemist Wagga Wagga","Wagga Wagga","NSW",2650,147.370452880859,-35.1127777099609,"Pharmacy service","Pharmacy",25
"Chemist Outlet North Wyong","Wyong","NSW",2259,151.4410971,-33.26936104,"Pharmacy service","Pharmacy",6
"Concord Road Pharmacy","North Strathfield","NSW",2137,151.092147827148,-33.8570289611816,"Pharmacy service","Pharmacy",3
"Kingston Pharmacy","Kingston Se","SA",5275,139.857757568359,-36.8290367126465,"Pharmacy service","Pharmacy",4
"Elias Pharmacy","Fairfield","NSW",2165,150.954711914063,-33.8716621398926,"Pharmacy service","Pharmacy",41
"Hps Pharmacies Coburg","Coburg","VIC",3058,144.97657826,-37.75658927,"Pharmacy service","Pharmacy",18
"Chemist Warehouse Mirrabooka","Mirrabooka","WA",6061,115.856956481934,-31.8691387176514,"Pharmacy service","Pharmacy",9
"Envisage Pharmacy Townsville","Douglas","QLD",4814,146.76021914,-19.33029596,"Pharmacy service","Pharmacy",7
"Vitality Pharmacy Warehouse Smithfield","Smithfield","QLD",4878,145.691925048828,-16.8384037017822,"Pharmacy service","Pharmacy",19
"Blooms The Chemist Colac","Colac","VIC",3250,143.58532274,-38.34152168,"Pharmacy service","Pharmacy",8
"Woolworths Shopping Centre 376 Shepherds Hill Rd Blackwood Sa 5051","Blackwood","SA",5051,138.616382,-35.021356,"Pharmacy service","Pharmacy",8
"Priceline Pharmacy Mayfield","Mayfield","NSW",2304,151.73794583,-32.8989969,"Pharmacy service","Pharmacy",5
"Priceline Pharmacy Moonee Ponds","Moonee Ponds","VIC",3039,144.920791625977,-37.7662887573242,"Pharmacy service","Pharmacy",16
"Midland Pharmacy & Compounding Centre","Midland","WA",6056,115.99795,-31.89076,"Pharmacy service","Pharmacy",22
"Ambassadors Pharmacy","Manjimup","WA",6258,116.140998840332,-34.2509994506836,"Pharmacy service","Pharmacy",7
"Springwood Discount Drug Store","Springwood","QLD",4127,153.12646484375,-27.6132183074951,"Pharmacy service","Pharmacy",17
"Coastal Compounding Pharmacy","Torquay","VIC",3228,144.31763204,-38.31182389,"Pharmacy service","Pharmacy",10
"Capital Chemist Chisholm","Chisholm","ACT",2905,149.12833449,-35.41392817,"Pharmacy service","Pharmacy",2
"Healthsmart Pharmacy Melbourne","Parkville","VIC",3052,144.95634016,-37.79863148,"Pharmacy service","Pharmacy",11
"Priceline Pharmacy Metcentre Sydney","Sydney","NSW",2000,151.20677647,-33.86477014,"Pharmacy service","Pharmacy",64
"Priceline Pharmacy Ooralea","Ooralea","QLD",4740,149.14476557,-21.17332874,"Pharmacy service","Pharmacy",1
"Chris Obrien Pharmacy","Camperdown","NSW",2050,151.18212598,-33.89070481,"Pharmacy service","Pharmacy",17
"Craigmore North Pharmacy","Craigmore","SA",5114,138.70765,-34.68951,"Pharmacy service","Pharmacy",3
"Warrane Pharmacy","Warrane","TAS",7018,147.376953125,-42.8601722717285,"Pharmacy service","Pharmacy",1
"Pharmasave Discount Chemist West Ryde","West Ryde","NSW",2114,151.08864673,-33.80745819,"Pharmacy service","Pharmacy",6
"Ramsay Pharmacy South Bundaberg","Walkervale","QLD",4670,152.3547231,-24.87911124,"Pharmacy service","Pharmacy",4
"Boulevarde Pharmacy","Fairfield Heights","NSW",2165,150.93892354,-33.8642339,"Pharmacy service","Pharmacy",7
"Woody Point Pharmacy","Woody Point","QLD",4019,153.10391366,-27.26134142,"Pharmacy service","Pharmacy",2
"National Pharmacies - Sefton Park","Sefton Park","SA",5083,138.60304726,-34.87650307,"Pharmacy service","Pharmacy",2
"Parkinson Discount Drug Store","Parkinson","QLD",4115,153.029342651367,-27.6278591156006,"Pharmacy service","Pharmacy",2
"Terrywhite Chemmart St Agnes","St Agnes","SA",5097,138.71692,-34.821665,"Pharmacy service","Pharmacy",1
"Atkins Pharmacy","Niddrie","VIC",3042,144.890777587891,-37.7370147705078,"Pharmacy service","Pharmacy",9
"United Chemists Kirkwood","Kirkwood","QLD",4680,151.244003295898,-23.8950004577637,"Pharmacy service","Pharmacy",2
"Manly Chempro Chemist","Manly West","QLD",4179,153.16748542,-27.45476821,"Pharmacy service","Pharmacy",4
"Local Care Pharmacy Cabramatta","Cabramatta","NSW",2166,150.93780838,-33.89508845,"Pharmacy service","Pharmacy",29
"Warringah Mall Pharmacy","Brookvale","NSW",2100,151.26972952,-33.76336157,"Pharmacy service","Pharmacy",12
"Bridge Street Plaza Pharmacy","Torrington","QLD",4350,151.90461730957,-27.5360851287842,"Pharmacy service","Pharmacy",1
"John Dodd Pharmacy","Griffith","NSW",2680,146.04661839,-34.28843996,"Pharmacy service","Pharmacy",15
"Pharmacy 777 Port Hedland","Port Hedland","WA",6721,118.60787384,-20.31164403,"Pharmacy service","Pharmacy",2
"King Island Pharmacy","Currie","TAS",7256,143.851577758789,-39.9304389953613,"Pharmacy service","Pharmacy",3
"Terrywhite Chemmart Rostrata","Willetton","WA",6155,115.89849188,-32.05018224,"Pharmacy service","Pharmacy",14
"Southport Chempro Chemist","Southport","QLD",4215,153.40865311,-27.97019152,"Pharmacy service","Pharmacy",40
"East Wahroonga Community Pharmacy","Wahroonga","NSW",2076,151.13729943,-33.71098581,"Pharmacy service","Pharmacy",12
"Blooms The Chemist Kenmore","Kenmore","QLD",4069,152.94821766,-27.50680733,"Pharmacy service","Pharmacy",12
"Terrywhite Chemmart Kawana Shoppingworld 1","Buddina","QLD",4575,153.130889892578,-26.7030296325684,"Pharmacy service","Pharmacy",5
"Priceline Pharmacy Tuggeranong","Greenway","ACT",2900,149.067001342773,-35.4145584106445,"Pharmacy service","Pharmacy",10
"Kingborough Pharmacy","Kingston","TAS",7050,147.309585571289,-42.9750862121582,"Pharmacy service","Pharmacy",17
"Holland Park Chempro Chemist","Holland Park West","QLD",4121,153.07071149,-27.52882725,"Pharmacy service","Pharmacy",5
"Blackalls Park Pharmacy","Blackalls Park","NSW",2283,151.584808349609,-33.0013275146484,"Pharmacy service","Pharmacy",1
"Moreton & Coote Pharmacy","East Toowoomba","QLD",4350,151.96555276,-27.56287779,"Pharmacy service","Pharmacy",15
"Albany Plaza Discount Drug Store","Albany","WA",6330,117.882706,-35.020279,"Pharmacy service","Pharmacy",10
"Pharmacy 777 Manjimup","Manjimup","WA",6258,116.145698547363,-34.2414207458496,"Pharmacy service","Pharmacy",7
"Wonthaggi Miners' Friendly Society Dispensary","Wonthaggi","VIC",3995,145.588989257813,-38.6066436767578,"Pharmacy service","Pharmacy",8
"Blooms The Chemist Cranbourne","Cranbourne","VIC",3977,145.28191974,-38.10838197,"Pharmacy service","Pharmacy",17
"Carnegie Pharmacy","Carnegie","VIC",3163,145.057006835938,-37.8874244689941,"Pharmacy service","Pharmacy",9
"Pharmacy 517","Melbourne","VIC",3004,144.979309082031,-37.8445930480957,"Pharmacy service","Pharmacy",57
"Vinapharm Chemist","Marrickville","NSW",2204,151.15429297,-33.91224221,"Pharmacy service","Pharmacy",20
"Healthline Pharmacy Oak Park","Oak Park","VIC",3046,144.922123,-37.717586,"Pharmacy service","Pharmacy",1
"Priceline Pharmacy St James","St James","WA",6102,115.91066144,-31.99287625,"Pharmacy service","Pharmacy",5
"Blooms The Chemist The Pines","Elanora","QLD",4221,153.470443725586,-28.1355800628662,"Pharmacy service","Pharmacy",5
"Lidcombe Pharmacy","Lidcombe","NSW",2141,151.04434672,-33.86244494,"Pharmacy service","Pharmacy",13
"Blooms The Chemist Nambucca Heads","Nambucca Heads","NSW",2448,153.00227355957,-30.6413879394531,"Pharmacy service","Pharmacy",6
"Priceline Pharmacy Gungahlin Marketplace","Gungahlin","ACT",2912,149.134246826172,-35.1848526000977,"Pharmacy service","Pharmacy",12
"Direct Chemist Outlet Tarneit West","Tarneit","VIC",3029,144.66676498,-37.86021899,"Pharmacy service","Pharmacy",15
"Good Price Pharmacy Warehouse Grafton","Grafton","NSW",2460,152.933731079102,-29.6900939941406,"Pharmacy service","Pharmacy",13
"Priceline Pharmacy Oran Park","Oran Park","NSW",2570,150.74139272,-34.00017667,"Pharmacy service","Pharmacy",4
"Rokeby Discount Drug Store","Rokeby","TAS",7019,147.447418212891,-42.9017562866211,"Pharmacy service","Pharmacy",3
"Trentham Pharmacy","Trentham","VIC",3458,144.32265089,-37.38920529,"Pharmacy service","Pharmacy",4
"Chemist Warehouse Westfield Plenty Valley","Mill Park","VIC",3082,145.06638509,-37.65160235,"Pharmacy service","Pharmacy",19
"Northside Pharmacy","Wagga Wagga","NSW",2650,147.369064331055,-35.1061515808106,"Pharmacy service","Pharmacy",25
"Ramsay Pharmacy Merthyr Village","New Farm","QLD",4005,153.04628315,-27.46700499,"Pharmacy service","Pharmacy",4
"Fremantle Central Pharmacy","Fremantle","WA",6160,115.747314453125,-32.0526390075684,"Pharmacy service","Pharmacy",17
"Strathalbyn Pharmacies - High St","Strathalbyn","SA",5255,138.892700195313,-35.2554168701172,"Pharmacy service","Pharmacy",4
"Terrywhite Chemmart Eaton","Eaton","WA",6232,115.71666,-33.318859,"Pharmacy service","Pharmacy",5
"Chemist Warehouse Burwood","Burwood","NSW",2134,151.104629516602,-33.8710746765137,"Pharmacy service","Pharmacy",28
"Terry White Chemmart Woonona","Woonona","NSW",2517,150.90633772,-34.34194295,"Pharmacy service","Pharmacy",5
"Newtown Pharmacy","Newtown","NSW",2042,151.178161621094,-33.8981704711914,"Pharmacy service","Pharmacy",24
"Priceline Pharmacy Chancellor Park","Sippy Downs","QLD",4556,153.04982423,-26.71754692,"Pharmacy service","Pharmacy",8
"Coolangatta Chempro Chemist","Coolangatta","QLD",4225,153.539749145508,-28.1686019897461,"Pharmacy service","Pharmacy",6
"Capital Chemist Calwell","Calwell","ACT",2905,149.1125887,-35.43455864,"Pharmacy service","Pharmacy",2
"Niddrie Pharmacy Pty Ltd","Niddrie","VIC",3042,144.88959767,-37.73655172,"Pharmacy service","Pharmacy",9
"West Pennant Hills Discount Drug Store","West Pennant Hills","NSW",2125,151.05051296,-33.74709911,"Pharmacy service","Pharmacy",6
"Buckley Street Pharmacy","Aberfeldie","VIC",3040,144.896362,-37.754848,"Pharmacy service","Pharmacy",2
"Priceline Pharmacy Greensborough Plaza","Greensborough","VIC",3088,145.102569580078,-37.7031097412109,"Pharmacy service","Pharmacy",10
"Chemist Warehouse Campsie Shopping Centre","Campsie","NSW",2194,151.10285238,-33.91290598,"Pharmacy service","Pharmacy",26
"Terrywhite Chemmart Springwood","Springwood","QLD",4127,153.124588012695,-27.6123027801514,"Pharmacy service","Pharmacy",17
"Terrywhite Chemmart Newtown","Newtown","QLD",4350,151.94404082,-27.55423831,"Pharmacy service","Pharmacy",24
"Terrywhite Chemmart Kelso","Kelso","NSW",2795,149.60006972,-33.40568024,"Pharmacy service","Pharmacy",2
"Kenmore Central Compounding Chempro Chemist","Kenmore","QLD",4069,152.93803204,-27.50891973,"Pharmacy service","Pharmacy",12
"Victoria Parade Pharmacy","Collingwood Park","QLD",4301,152.85636494,-27.62465058,"Pharmacy service","Pharmacy",2
"Orana Pharmacy Albany","Orana","WA",6330,117.85626387,-34.9944012,"Pharmacy service","Pharmacy",1
"Watsons Bay Pharmacy","Watsons Bay","NSW",2030,151.28431614,-33.84402667,"Pharmacy service","Pharmacy",1
"Direct Chemist Outlet Brunswick East","Brunswick East","VIC",3057,144.971668,-37.773297,"Pharmacy service","Pharmacy",8
"Uraidla Cottage Pharmacy","Uraidla","SA",5142,138.744995117188,-34.9561996459961,"Pharmacy service","Pharmacy",1
"Western Haematology Oncology Pharmacy","West Perth","WA",6005,115.84182071,-31.94460661,"Pharmacy service","Pharmacy",7
"Dunolly Pharmacy","Dunolly","VIC",3472,143.73030090332,-36.8583869934082,"Pharmacy service","Pharmacy",2
"Murrumbeena Pharmacy","Murrumbeena","VIC",3163,145.064041137695,-37.9010314941406,"Pharmacy service","Pharmacy",2
"Wakeley Pharmacy","Wakeley","NSW",2176,150.911468505859,-33.8702354431152,"Pharmacy service","Pharmacy",1
"Chemist Warehouse Crows Nest","Crows Nest","NSW",2065,151.20060112,-33.82633459,"Pharmacy service","Pharmacy",11
"Pharmacy 777 Subiaco Rokeby Road","Subiaco","WA",6008,115.824287,-31.949045,"Pharmacy service","Pharmacy",17
"Heywood Pharmacy","Heywood","VIC",3304,141.62959662,-38.13317817,"Pharmacy service","Pharmacy",4
"Cbd Pharmacies","Sydney","NSW",2000,151.208801269531,-33.8671607971191,"Pharmacy service","Pharmacy",64
"Chemist Warehouse Mornington Central","Mornington","VIC",3931,145.03941733,-38.21845906,"Pharmacy service","Pharmacy",27
"Priceline Pharmacy Bridgewater","Bridgewater","TAS",7030,147.24512882,-42.73854756,"Pharmacy service","Pharmacy",5
"Good Price Pharmacy Warehouse Rosebery","Beaconsfield","NSW",2015,151.20068286,-33.9142645,"Pharmacy service","Pharmacy",12
"Chemwise Pharmacy Bunbury","South Bunbury","WA",6230,115.63980351,-33.33876768,"Pharmacy service","Pharmacy",9
"Blooms The Chemist Banora Point","Banora Point","NSW",2486,153.52161679,-28.21368499,"Pharmacy service","Pharmacy",5
"Chemist Discount Centre Bundaberg East","Bundaberg East","QLD",4670,152.36949583,-24.85958597,"Pharmacy service","Pharmacy",4
"Santos Centre Pharmacy","Summer Hill","NSW",2130,151.13857914,-33.8916373,"Pharmacy service","Pharmacy",3
"Griffiths Pharmacy","Charters Towers City","QLD",4820,146.2577097,-20.07636522,"Pharmacy service","Pharmacy",7
"Chemist Warehouse Malvern","Malvern","VIC",3144,145.028656005859,-37.8614730834961,"Pharmacy service","Pharmacy",15
"Livelife Pharmacy Noosa Civic","Noosaville","QLD",4566,153.04929736,-26.41544799,"Pharmacy service","Pharmacy",9
"Customcare Compounding Pharmacy","Malvern East","VIC",3145,145.040405273438,-37.8642120361328,"Pharmacy service","Pharmacy",8
"Narooma Pharmacy","Narooma","NSW",2546,150.12419128418,-36.2142906188965,"Pharmacy service","Pharmacy",6
"United Chemists Para Vista","Para Vista","SA",5093,138.661727905273,-34.8196868896484,"Pharmacy service","Pharmacy",1
"Gailes Pharmacy","Gailes","QLD",4300,152.915542602539,-27.6110744476318,"Pharmacy service","Pharmacy",2
"Harpers Pharmacy","Earlwood","NSW",2206,151.124659,-33.926613,"Pharmacy service","Pharmacy",12
"Lyell Mcewin Hospital Pharmacy Dept.","Elizabeth Vale","SA",5112,138.6673453,-34.74499271,"Pharmacy service","Pharmacy",6
"Vital Pharmacy","Potts Point","NSW",2011,151.22297668457,-33.8740310668945,"Pharmacy service","Pharmacy",10
"Ramsay Pharmacy Forest Lake","Forest Lake","QLD",4078,152.9684734,-27.62510248,"Pharmacy service","Pharmacy",7
"Ace Pharmacy Kedron","Kedron","QLD",4031,153.031982421875,-27.4084815979003,"Pharmacy service","Pharmacy",7
"Harrisdale Pharmacy","Harrisdale","WA",6112,115.92697957,-32.12691732,"Pharmacy service","Pharmacy",4
"Pharmacy 777 East Perth","East Perth","WA",6004,115.87736118,-31.95344872,"Pharmacy service","Pharmacy",9
"Maridale Park Pharmacy","Capalaba","QLD",4157,153.20137423,-27.54222926,"Pharmacy service","Pharmacy",19
"Ramsay Pharmacy Cairns Medical Centre","Cairns City","QLD",4870,145.77196369,-16.9189828,"Pharmacy service","Pharmacy",12
"Superchem Butler Pharmacy","Butler","WA",6036,115.70151,-31.63621,"Pharmacy service","Pharmacy",8
"Livelife Pharmacy Sunrise Beach","Sunshine Beach","QLD",4567,153.100250244141,-26.4113845825195,"Pharmacy service","Pharmacy",1
"Chandra Pharmacy","Doncaster East","VIC",3109,145.16379578,-37.78203746,"Pharmacy service","Pharmacy",19
"Carseldine Chempro Chemist","Carseldine","QLD",4034,153.011077880859,-27.3450183868408,"Pharmacy service","Pharmacy",3
"Mareeba Wholelife Pharmacy & Healthfoods","Mareeba","QLD",4880,145.42365202,-16.99816985,"Pharmacy service","Pharmacy",10
"Pharmasave Katherine Pharmacy","Katherine","NT",850,132.265989,-14.465138,"Pharmacy service","Pharmacy",12
"Terrywhite Chemmart Central Rockhampton","Rockhampton","QLD",4700,150.510986328125,-23.3771705627441,"Pharmacy service","Pharmacy",3
"Livelife Pharmacy Mossman","Mossman","QLD",4873,145.37252011,-16.46530637,"Pharmacy service","Pharmacy",5
"Priceline Pharmacy Arkaba","Fullarton","SA",5063,138.626434326172,-34.947696685791,"Pharmacy service","Pharmacy",1
"Wellbeing Pharmacy Collaroy Plateau","Collaroy Plateau","NSW",2097,151.28694152832,-33.7278861999512,"Pharmacy service","Pharmacy",2
"Soul Pattinson Chemist Michael Shapp","Elsternwick","VIC",3185,145.0048828125,-37.8851051330566,"Pharmacy service","Pharmacy",7
"Lane Cove Village Pharmacy","Lane Cove","NSW",2066,151.16813659668,-33.8148040771484,"Pharmacy service","Pharmacy",12
"Terrywhite Chemmart Sippy Downs","Sippy Downs","QLD",4556,153.06463193,-26.71272971,"Pharmacy service","Pharmacy",8
"Tasman Pharmacy","Nubeena","TAS",7184,147.743057,-43.097893,"Pharmacy service","Pharmacy",2
"City Pharmacy","Newcastle","NSW",2300,151.784103393555,-32.9277954101563,"Pharmacy service","Pharmacy",6
"Blooms The Chemist Nowra Mall","Nowra","NSW",2541,150.60375243,-34.87423331,"Pharmacy service","Pharmacy",18
"Terrywhite Chemmart Woods Road","Yarrawonga","VIC",3730,146.0135139,-36.01545256,"Pharmacy service","Pharmacy",9
"Chatswood Hills Chempro Chemist","Springwood","QLD",4127,153.137924194336,-27.6336898803711,"Pharmacy service","Pharmacy",17
"Amcal Arden Gardens Pharmacy","North Melbourne","VIC",3051,144.940509538211,-37.7960058673957,"Pharmacy service","Pharmacy",10
"Terrywhite Chemmart Armadale","Armadale","WA",6112,116.014930725098,-32.1522254943848,"Pharmacy service","Pharmacy",18
"Tarneit Discount Drug Store","Tarneit","VIC",3029,144.69299688,-37.83661857,"Pharmacy service","Pharmacy",15
"Kallangur Discount Drug Store","Kallangur","QLD",4503,152.99863921,-27.25000318,"Pharmacy service","Pharmacy",10
"Core Pharmacy Essendon Fields","Essendon Fields","VIC",3041,144.895523071289,-37.727165222168,"Pharmacy service","Pharmacy",2
"Chemist Warehouse North Perth","North Perth","WA",6006,115.85949,-31.93222,"Pharmacy service","Pharmacy",7
"Lincolnville Pharmacy","Keilor East","VIC",3033,144.866302490234,-37.744384765625,"Pharmacy service","Pharmacy",9
"Williamstown Pharmacy","Williamstown","SA",5351,138.89007347,-34.66928814,"Pharmacy service","Pharmacy",8
"Chemist Warehouse Hyperdome Shopping Centre","Loganholme","QLD",4129,153.17199514,-27.66276093,"Pharmacy service","Pharmacy",10
"The Haymarket Pharmacy","Haymarket","NSW",2000,151.20526026,-33.87885327,"Pharmacy service","Pharmacy",7
"Terrywhite Chemmart Largs Bay","Largs Bay","SA",5016,138.494995117188,-34.8213005065918,"Pharmacy service","Pharmacy",1
"Clermont Pharmacy","Clermont","QLD",4721,147.639221191406,-22.8241233825684,"Pharmacy service","Pharmacy",3
"Slade Pharmacy Fitzroy","Fitzroy","VIC",3065,144.97607063,-37.8074979,"Pharmacy service","Pharmacy",10
"Chemist Warehouse Botany","Botany","NSW",2019,151.196182250977,-33.9448280334473,"Pharmacy service","Pharmacy",5
"Proserpine Pharmacy","Proserpine","QLD",4800,148.583476,-20.40152,"Pharmacy service","Pharmacy",8
"Oasis Pharmacy","Secret Harbour","WA",6173,115.75749176,-32.40786637,"Pharmacy service","Pharmacy",3
"Chemist Warehouse Wollongong","Wollongong","NSW",2500,150.89221595,-34.4254784,"Pharmacy service","Pharmacy",27
"Concord West Pharmacy","Concord West","NSW",2138,151.08667846,-33.84763184,"Pharmacy service","Pharmacy",5
"Chemist Warehouse Ringwood Lake","Ringwood","VIC",3134,145.235255,-37.811965,"Pharmacy service","Pharmacy",16
"Kingswood Medical Center Pharmacy","Orchard Hills","NSW",2748,150.71419434,-33.77577258,"Pharmacy service","Pharmacy",1
"Oakden Pharmacy","Hillcrest","SA",5086,138.63658781,-34.85992727,"Pharmacy service","Pharmacy",10
"Healthyworld Pharmacy Stones Corner","Stones Corner","QLD",4120,153.044982910156,-27.5002841949463,"Pharmacy service","Pharmacy",2
"Campus Pharmacy","St Lucia","QLD",4067,153.014831542969,-27.49658203125,"Pharmacy service","Pharmacy",3
"Amer's Pharmacy Bondi Junction","Bondi Junction","NSW",2022,151.25080871582,-33.891414642334,"Pharmacy service","Pharmacy",27
"Chemist Discount Centre Fawkner","Fawkner","VIC",3060,144.96526452,-37.7017956,"Pharmacy service","Pharmacy",8
"Nourish Health Food Pharmacy","Dunsborough","WA",6281,115.107696533203,-33.6161193847656,"Pharmacy service","Pharmacy",4
"Slacks Creek Discount Drug Store","Slacks Creek","QLD",4127,153.119284,-27.631552,"Pharmacy service","Pharmacy",4
"Chemist Discount Centre Warragul","Warragul","VIC",3820,145.932769775391,-38.1624641418457,"Pharmacy service","Pharmacy",13
"Terrywhite Chemmart Australia Fair","Southport","QLD",4215,153.41586532,-27.96776965,"Pharmacy service","Pharmacy",40
"Pharmacysmart Compounding","Balwyn North","VIC",3104,145.07107392,-37.79250984,"Pharmacy service","Pharmacy",12
"Pinewood Centreway Pharmacy","Mount Waverley","VIC",3149,145.144073486328,-37.8910331726074,"Pharmacy service","Pharmacy",18
"My Village Pharmacy Redhead","Redhead","NSW",2290,151.71136641,-33.0094921,"Pharmacy service","Pharmacy",2
"Speers Point Pharmacy","Speers Point","NSW",2284,151.62245691,-32.96340833,"Pharmacy service","Pharmacy",1
"Complete Care Pharmacy Penguin","Penguin","TAS",7316,146.075043,-41.114662,"Pharmacy service","Pharmacy",3
"Terrywhite Chemmart Summit Health Centre","Mount Barker","SA",5251,138.869216918945,-35.0812606811523,"Pharmacy service","Pharmacy",19
"Olinda Pharmacy","Olinda","VIC",3788,145.36452344,-37.8553371,"Pharmacy service","Pharmacy",1
"Willowbank Pharmacy","Willowbank","QLD",4306,152.69200455,-27.65718166,"Pharmacy service","Pharmacy",2
"Tucker Road Pharmacy","Bentleigh","VIC",3204,145.049133300781,-37.9280776977539,"Pharmacy service","Pharmacy",13
"Clarence Town Pharmacy","Clarence Town","NSW",2321,151.77982872,-32.58609398,"Pharmacy service","Pharmacy",3
"Beacon Cove Pharmacy","Port Melbourne","VIC",3207,144.919715,-37.836461,"Pharmacy service","Pharmacy",10
"Healthsave Wynnum West Pharmacy","Wynnum West","QLD",4178,153.156478881836,-27.4538650512695,"Pharmacy service","Pharmacy",5
"Tim Siv's Terrywhite Chemmart Angaston","Angaston","SA",5353,139.04733651,-34.5008692,"Pharmacy service","Pharmacy",4
"Direct Chemist Outlet Central Highlands","Emerald","QLD",4720,148.15578464,-23.51803675,"Pharmacy service","Pharmacy",12
"Marsden Clinic Day & Night Pharmacy","Marsden","QLD",4132,153.11362952,-27.68087057,"Pharmacy service","Pharmacy",7
"Chemist Warehouse Carseldine","Bald Hills","QLD",4036,153.00880795,-27.33185737,"Pharmacy service","Pharmacy",4
"Terrywhite Chemmart Moorooka","Moorooka","QLD",4105,153.02418987,-27.53083905,"Pharmacy service","Pharmacy",2
"Busselton Pharmacy","West Busselton","WA",6280,115.321899414063,-33.6565361022949,"Pharmacy service","Pharmacy",3
"Beerwah Medical Centre Pharmacy","Beerwah","QLD",4519,152.95727187,-26.85930535,"Pharmacy service","Pharmacy",5
"Terrywhite Chemmart Lockhart","Lockhart","NSW",2656,146.717163,-35.221565,"Pharmacy service","Pharmacy",3
"Terry White Wangara Pharmacy","Wangara","WA",6065,115.81377845,-31.79181951,"Pharmacy service","Pharmacy",3
"Kallangur Day & Night Chempro Chemist","Kallangur","QLD",4503,152.99221649,-27.25120848,"Pharmacy service","Pharmacy",10
"Emerald Super Clinic Pharmacy","Emerald","QLD",4720,148.16829986,-23.56571642,"Pharmacy service","Pharmacy",12
"Chemist Warehouse Derrimut","Derrimut","VIC",3026,144.77151629,-37.78400992,"Pharmacy service","Pharmacy",3
"Optimal Pharmacy Plus Balga","Balga","WA",6061,115.82526,-31.84839,"Pharmacy service","Pharmacy",4
"Cambooya Amcal Pharmacy","Cambooya","QLD",4358,151.86521474,-27.70720727,"Pharmacy service","Pharmacy",1
"Star Pharmacy Middle Park","Middle Park","VIC",3206,144.964599609375,-37.8505706787109,"Pharmacy service","Pharmacy",5
"Southgate Pharmacy","Sylvania","NSW",2224,151.104141235352,-34.0099639892578,"Pharmacy service","Pharmacy",5
"Livelife Pharmacy Coolum Beach","Coolum Beach","QLD",4573,153.09129758,-26.53130062,"Pharmacy service","Pharmacy",8
"Russell Street Pharmacy","Tumut","NSW",2720,148.221923828125,-35.2997932434082,"Pharmacy service","Pharmacy",5
"Som & Giri Lismore Pharmacy","Lismore","VIC",3324,143.344451904297,-37.9533233642578,"Pharmacy service","Pharmacy",13
"Flinders Save & Deliver Pharmacy","Flinders","NSW",2529,150.849853515625,-34.5840950012207,"Pharmacy service","Pharmacy",4
"Agapy Pharmacy","Sylvania","NSW",2224,151.094696044922,-34.0140838623047,"Pharmacy service","Pharmacy",5
"Hps - Sunnybank Private Hospital","Sunnybank","QLD",4109,153.06143717,-27.57243298,"Hospital pharmacy service","Pharmacy",15
"Currumbin Fair Amcal+ Pharmacy","Currumbin Waters","QLD",4223,153.4712592,-28.15558577,"Pharmacy service","Pharmacy",4
"Casula Centre Pharmacy","Casula","NSW",2170,150.91096496582,-33.9429130554199,"Pharmacy service","Pharmacy",9
"Priceline Pharmacy Randwick","Randwick","NSW",2031,151.24057248,-33.91423839,"Pharmacy service","Pharmacy",29
