ORGANISATION_NAME,SUBURB,STATE,POSTCODE,LONGITUDE,LATITUDE,NHSD_SERVICE_TYPE,GA_CLASS
Carlyle Community Health,East Mackay,QLD,4740,149.18215868,-21.14249499,"Maternal, child and family health service",GP
Koondoola Child Development Service,Koondoola,WA,6064,115.86197662353500,-31.838729858398400,"Maternal, child and family health service",GP
Fairfield District Medical Centre,Fairfield Heights,NSW,2165,150.93821716308600,-33.862281799316400,General practice service,GP
Papunya Community Health Centre,Papunya,NT,872,131.9088592529300,-23.20439338684080,Nurse led clinic,GP
Lang Lang Community Family Medicine,Lang Lang,VIC,3984,145.5621795654300,-38.264869689941400,General practice service,GP
Australian Skin Cancer Clinics Prospect,Prospect,SA,5082,138.60224,-34.8827,General practice skin cancer service,GP
Knox City Council - Civic Centre Customer Enquiries,Wantirna South,VIC,3152,145.24549865722700,-37.871131896972700,"Maternal, child and family health service",GP
Surrey Hills Medical Centre,Surrey Hills,VIC,3127,145.09769,-37.82252,General practice service,GP
Seaford Beach Family Clinic,Seaford,VIC,3198,145.12620544433600,-38.10245895385740,General practice service,GP
Orion Medical Centre,Upper Ferntree Gully,VIC,3156,145.31149291992200,-37.893802642822300,General practice service,GP
Bridge Clinic - Standen Street,Murray Bridge,SA,5253,139.27276611328100,-35.12178421020510,General practice service,GP
Westminster Family Medical Practice,Westminster,WA,6061,115.83782196044900,-31.868324279785200,General practice service,GP
